rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
27,Thapelo Maseko,RSA,FW,35.17,299,159,27093.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
28,Nuno Mendes,POR,DF,35.16,382,160,39049.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Virgil Van Dijk,NED,DF,35.14,292,100,38197.13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
30,Nestory Irankunda,AUS,FW,35.13,263,129,27279,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
31,Luis Diaz,COL,FW,35.13,510,248,52994.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
32,Antoine Semenyo,GHA,MF,35.12,285,167,39933.84,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
33,Kristoffer Ajer,NOR,DF,35.09,480,150,54843.56,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
34,Alistair Johnston,CAN,DF,35.08,683,264,53458.13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Luis Suarez,COL,FW,35.05,267,155,32718.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
36,Daizen Maeda,JPN,MF,35,432,239,32326.01,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
37,Julian Alvarez,ARG,FW,34.98,787,340,71340.54,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
38,Felix Nmecha,GER,MF,34.97,442,141,33325.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
39,Pico Lopes,CPV,DF,34.95,366,99,41751.06,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
40,Rafael Leao,POR,FW,34.95,188,75,18513.49,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Brian Rodriguez,URU,FW,34.88,90,35,6497.61,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
42,Tani Oluwaseyi,CAN,FW,34.87,350,172,29357.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
43,Federico Valverde,URU,MF,34.86,228,99,25916.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
44,Brian Gutierrez,MEX,MF,34.85,334,112,24453.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
45,Hazem Mastouri,TUN,FW,34.84,106,39,10041.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
46,Matias Fernandez Pardo,BEL,FW,34.82,83,52,7102.68,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
47,Dailon Livramento,CPV,FW,34.81,237,100,23067.28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
48,Ali Abdi,TUN,DF,34.81,343,150,29932.97,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
49,Esmir Bajraktarevic,BIH,FW,34.8,318,145,28616.79,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
50,Eren Elmali,TUR,DF,34.75,135,60,14528.21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
51,Darwin Nunez,URU,FW,34.75,190,93,19040.35,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Viktor Gyokeres,SWE,FW,34.75,426,177,42857.3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
53,Breel Embolo,SUI,FW,34.75,468,235,49484.27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
54,Ismail Jakobs,SEN,DF,34.72,384,141,29465.19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
55,Crysencio Summerville,NED,FW,34.72,285,131,28089.07,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
56,Yan Diomande,CIV,FW,34.71,370,178,34347.31,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
57,Ibrahim Mbaye,SEN,FW,34.71,191,104,18570.21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
58,Zeki Celik,TUR,DF,34.69,224,87,19112.83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
59,Gustavo Caballero,PAR,MF,34.68,169,57,12413.4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
60,Jeremy Doku,BEL,FW,34.68,443,172,35176.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
61,Deveron Fonville,CUW,DF,34.65,239,132,25516.75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Michael Olise,FRA,FW,34.65,1054,388,84499.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
63,Baris Alper Yilmaz,TUR,FW,34.64,228,106,21165.94,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
