rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1172,Diego Gomez,PAR,MF,0,0,332,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1173,Fabian Rieder,SUI,MF,0,0,332,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1171,John Yeboah,ECU,FW,0,0,330,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1170,Jordan Ayew,GHA,FW,0,0,323,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1169,Odilon Kossounou,CIV,DF,0,0,316,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1167,Noni Madueke,ENG,FW,0,0,315,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1168,Rayan Ait Nouri,ALG,DF,0,0,315,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1166,Jamiro Monteiro,CPV,MF,0,0,314,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1159,Rodrigo Bentancur,URU,MF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1159,Sebastian Caceres,URU,DF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1159,Mathias Olivera,URU,DF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1159,Guillermo Varela,URU,DF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1163,Nabil Bentaleb,ALG,MF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1164,Ugurcan Cakir,TUR,GK,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1165,Jerome Opoku,GHA,DF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1158,Marvin Senaya,GHA,DF,0,0,312,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1154,Guela Doue,CIV,DF,0,0,311,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1155,Marin Pongracic,CRO,DF,0,0,311,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1156,Enner Valencia,ECU,FW,0,0,311,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1157,Abdukodir Khusanov,UZB,DF,0,0,311,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1149,Mahmoud Abunada,QAT,GK,0,0,310,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1149,Pedro Miguel,QAT,DF,0,0,310,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1149,Boualem Khoukhi,QAT,DF,0,0,310,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1149,Issa Laye,QAT,DF,0,0,310,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1153,Amar Dedic,BIH,DF,0,0,310,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1144,Yazeed Abulaila,JOR,GK,0,0,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1144,Yazan Alarab,JOR,DF,0,0,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1146,Shoja Khalilzadeh,IRN,DF,0,0,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1146,Ali Nemati,IRN,DF,0,0,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1146,Alireza Beiranvand,IRN,GK,0,0,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1142,Nicolas Otamendi,ARG,DF,0,0,308,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1143,Emmanuel Agbadou,CIV,DF,0,0,308,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
