rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
101,Hassan Alhaydos,QAT,FW,1,0,69,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
102,Jovo Lukic,BIH,FW,1,0,77,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
103,Mateo Chavez,MEX,DF,1,0,81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
104,Sasa Kalajdzic,AUT,FW,1,0,88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
105,Hazem Mastouri,TUN,FW,1,0,92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
106,Jaminton Campaz,COL,FW,1,0,98,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
107,Thelo Aasgaard,NOR,MF,1,0,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
108,Gessime Yassine,MAR,MF,1,0,101,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
109,Alexis Saelemaekers,BEL,MF,1,0,107,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
110,Alvaro Fidalgo,MEX,MF,1,0,117,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
111,Petar Musa,CRO,FW,1,0,119,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
112,Auston Trusty,USA,DF,1,0,123,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
113,Aymen Hussein,IRQ,FW,1,0,128,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
114,Helio Varela,CPV,MF,1,0,130,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
115,Oh Hyeongyu,KOR,FW,1,0,145,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
116,Nico Schlotterbeck,GER,DF,1,0,152,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
117,Giovanni Reyna,USA,MF,1,0,155,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
118,Brian Cipenga,COD,FW,1,0,160,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
119,Ante Budimir,CRO,FW,1,0,168,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
120,Gabriel Martinelli,BRA,FW,1,0,171,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
121,Leo Ostigard,NOR,DF,1,0,184,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
122,Omar Rekik,TUN,DF,1,0,200,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
123,Wilson Isidor,HAI,FW,1,0,201,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
124,Ibrahim Mbaye,SEN,FW,1,0,203,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
125,Michal Sadilek,CZE,MF,1,0,204,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
126,Nikola Vlasic,CRO,MF,1,0,204,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
127,Derrick Luckassen,GHA,DF,1,0,205,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
128,Mauricio,PAR,MF,1,0,208,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Nilson Angulo,ECU,FW,1,0,240,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
130,Abbosbek Fayzullaev,UZB,MF,1,0,240,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
131,Junya Ito,JPN,MF,1,0,242,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
132,Livano Comenencia,CUW,MF,1,0,253,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
133,Thapelo Maseko,RSA,FW,1,0,255,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
134,Agustin Canobbio,URU,MF,1,0,261,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
135,Abdulelah Alamri,KSA,DF,1,0,268,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
