rank,player,team,position,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,source_url,retrieved_date
131,Orjan Nyland,NOR,GK,204,138,68,0,0,0,6,0,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
132,Richie Laryea,CAN,DF,202,167,83,4,25,2,15,60,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
132,Camilo Vargas,COL,GK,202,157,78,0,0,0,10,20,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
132,Johan Mojica,COL,DF,202,161,80,12,17,0,8,38,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
135,Roberto Alvarado,MEX,FW,201,163,81,34,32,7,17,47,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
135,Lewis Ferguson,SCO,MF,201,185,92,9,11,0,3,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
135,Djed Spence,ENG,DF,201,177,88,9,0,5,17,65,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
138,Marin Pongracic,CRO,DF,200,182,91,0,0,0,1,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
138,Bruno Guimaraes,BRA,MF,200,161,81,12,17,0,15,33,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
138,Daichi Kamada,JPN,MF,200,170,85,4,50,1,6,50,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
138,Lee Hanbeom,KOR,DF,200,183,92,2,50,0,3,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
138,Victor Lindelof,SWE,DF,200,190,95,0,0,0,3,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
143,Harry Souttar,AUS,DF,199,171,86,0,0,1,8,38,3,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
143,Erik Lira,MEX,MF,199,182,91,2,100,2,2,0,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
143,Leandro Trossard,BEL,FW,199,171,86,11,45,10,11,55,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
143,Hiroki Ito,JPN,DF,199,178,89,10,20,0,11,27,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
147,Arda Guler,TUR,FW,198,170,86,14,29,6,9,67,5,80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
147,Thibaut Courtois,BEL,GK,198,144,73,0,0,0,5,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
149,Desire Doue,FRA,FW,196,167,85,5,40,10,15,47,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
149,Teboho Mokoena,RSA,MF,196,176,90,3,0,1,6,50,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
151,Diney Borges,CPV,DF,195,158,81,0,0,0,8,13,9,44,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
152,Luc De Fougerolles,CAN,DF,191,170,89,1,0,0,6,67,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
152,Mohanad Lashin,EGY,MF,191,169,88,2,0,2,7,29,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
154,Ibrahim Sangare,CIV,MF,190,172,91,1,0,0,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
154,Lucas Paqueta,BRA,MF,190,162,85,5,0,2,8,63,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
154,Hakan Calhanoglu,TUR,MF,190,171,90,10,10,0,5,60,7,86,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
157,Piero Hincapie,ECU,DF,189,160,85,15,13,2,13,31,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
157,Leroy Sane,GER,MF,189,161,85,11,18,7,9,44,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
159,Reece James,ENG,DF,188,173,92,11,27,3,8,38,3,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
159,Franck Kessie,CIV,MF,188,165,88,4,0,2,13,46,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
161,Khuliso Mudau,RSA,DF,187,168,90,5,20,3,5,20,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
161,Nicolas Otamendi,ARG,DF,187,178,95,0,0,0,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
163,David Moller Wolfe,NOR,DF,186,162,87,7,14,3,7,43,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
164,Kevin De Bruyne,BEL,MF,185,153,83,21,24,5,21,48,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
164,Denis Zakaria,SUI,MF,185,160,86,14,14,3,10,70,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
166,Joao Cancelo,POR,DF,184,160,87,12,33,6,9,56,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
166,John Stones,ENG,DF,184,178,97,0,0,0,1,100,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
168,Jose Cordoba,PAN,DF,183,169,92,1,0,1,1,100,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
168,Rafik Belghali,ALG,DF,183,168,92,5,40,3,3,67,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
170,Pico Lopes,CPV,DF,182,153,84,0,0,0,7,14,5,60,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
170,Ahmed Fatouh,EGY,DF,182,163,90,7,14,1,11,64,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
170,Gideon Mensah,GHA,DF,182,156,86,3,0,1,6,33,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
173,Jack Hendry,SCO,DF,180,171,95,0,0,0,2,0,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
174,Denzel Dumfries,NED,DF,179,147,82,17,29,1,13,54,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
175,Fredrik Aursnes,NOR,MF,178,158,89,4,25,1,5,20,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
175,Andres Andrade,PAN,DF,178,147,83,8,0,0,7,29,5,80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
177,Ferdi Kadioglu,TUR,DF,175,161,92,4,0,1,9,78,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
178,Rodrigo Bentancur,URU,MF,174,157,90,3,0,4,2,50,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
178,Patrick Berg,NOR,MF,174,161,93,13,38,5,1,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
180,Sead Kolasinac,BIH,DF,173,141,82,9,11,1,5,20,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
181,Aiden Oneill,AUS,MF,172,142,83,8,50,3,12,42,3,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
181,Sebastian Caceres,URU,DF,172,154,90,1,0,0,4,50,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
183,Marko Stamenic,NZL,MF,171,156,91,2,50,2,9,44,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
184,Thiago Almada,ARG,FW,170,154,91,1,0,3,2,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
184,Cesar Montes,MEX,DF,170,156,92,2,0,0,5,40,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
184,Derek Cornelius,CAN,DF,170,151,89,1,0,0,2,50,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
187,Arthur Masuaku,COD,DF,169,141,83,14,21,2,6,67,5,80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
188,Jesus Gallardo,MEX,DF,167,140,84,19,21,3,11,18,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
189,Luis Diaz,COL,FW,166,145,87,6,17,7,14,50,10,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
189,Vozinha,CPV,GK,166,117,70,0,0,1,2,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
189,Anass Salah Eddine,MAR,DF,166,152,92,3,0,0,1,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
192,Brahim Diaz,MAR,FW,165,142,86,8,38,15,13,46,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
192,Nikola Katic,BIH,DF,165,148,90,0,0,0,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
194,Kevin Danso,AUT,DF,164,147,90,1,0,2,1,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
194,Arthur Theate,BEL,DF,164,153,93,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
194,Hans Vanaken,BEL,MF,164,153,93,3,0,1,2,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
197,Guela Doue,CIV,DF,163,143,88,11,45,0,9,56,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
197,Malik Tillman,USA,MF,163,129,79,15,27,7,18,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
197,Facundo Medina,ARG,DF,163,150,92,5,40,0,2,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
200,Josip Stanisic,CRO,DF,162,140,86,5,20,2,9,67,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
200,Chancel Mbemba,COD,DF,162,130,80,4,0,2,7,43,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
202,Pape Gueye,SEN,MF,161,138,86,3,33,1,13,54,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
203,Ladislav Krejci,CZE,DF,160,135,84,2,50,0,2,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
203,Ao Tanaka,JPN,MF,160,145,91,0,0,3,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
205,Lee Kangin,KOR,MF,159,140,88,20,25,9,12,75,7,86,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
205,Orlando Gill,PAR,GK,159,68,43,0,0,0,10,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
207,Kevin Pina,CPV,MF,156,134,86,1,0,3,1,0,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
208,Raul Rangel,MEX,GK,155,120,77,0,0,0,4,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
208,Axel Tuanzebe,COD,DF,155,140,90,0,0,0,0,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
208,Nikola Vasilj,BIH,GK,155,94,61,0,0,0,4,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
208,Pedro Neto,POR,FW,155,137,88,13,23,7,11,73,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
212,Emmanuel Agbadou,CIV,DF,154,142,92,0,0,0,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
213,Nicolas Seiwald,AUT,MF,153,141,92,3,33,0,2,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
213,Andy Robertson,SCO,DF,153,124,81,11,36,1,7,14,3,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
213,Stjepan Radeljic,BIH,DF,153,137,90,0,0,0,2,100,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
213,Tarik Muharemovic,BIH,DF,153,132,86,0,0,1,3,67,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
213,Edson Alvarez,MEX,DF,153,138,90,2,50,1,3,0,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
218,Thomas Partey,GHA,MF,152,134,88,0,0,1,4,50,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
218,Marcos Llorente,ESP,DF,152,142,93,6,33,1,5,80,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
218,Paik Seungho,KOR,MF,152,135,89,1,0,0,7,43,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
221,Hannes Delcroix,HAI,DF,151,146,97,1,0,0,2,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
222,Konrad Laimer,AUT,MF,150,130,87,7,14,3,8,63,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
222,Ivan Perisic,CRO,FW,150,132,88,19,16,2,9,56,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
224,Julian Ryerson,NOR,FW,149,131,88,14,50,3,13,46,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
224,Theo Hernandez,FRA,DF,149,139,93,5,20,1,3,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
224,Odilon Kossounou,CIV,DF,149,141,95,0,0,0,1,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
224,Ghislain Konan,CIV,DF,149,124,83,9,22,9,9,44,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
224,Mikel Oyarzabal,ESP,FW,149,124,83,8,13,2,4,25,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
229,Alan Franco,ECU,MF,148,140,95,4,0,0,3,33,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
229,Akam Hashim,IRQ,DF,148,126,85,0,0,4,3,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
231,Riyad Mahrez,ALG,FW,147,127,86,9,33,0,9,67,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
231,Samuel Moutoussamy,COD,MF,147,122,83,1,100,0,6,17,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
231,Gabriel Gudmundsson,SWE,DF,147,112,76,5,20,1,7,14,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
231,Gonzalo Plata,ECU,FW,147,118,80,9,11,8,8,38,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
231,Mostafa Shoubir,EGY,GK,147,114,78,0,0,0,3,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
236,Finn Surman,NZL,DF,145,135,93,0,0,0,1,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
237,Joe Bell,NZL,MF,143,120,84,0,0,2,0,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
238,Yan Diomande,CIV,FW,142,127,89,21,24,15,15,53,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
238,Vinicius Junior,BRA,FW,142,116,82,15,40,23,21,76,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
240,Ibrahim Maza,ALG,MF,141,111,79,1,0,12,13,46,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
240,Merchas Doski,IRQ,DF,141,115,82,3,67,0,13,23,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
240,Shoja Khalilzadeh,IRN,DF,141,118,84,0,0,0,1,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
243,Philipp Lienhart,AUT,DF,140,128,91,0,0,0,3,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
244,Lionel Mpasi,COD,GK,139,94,68,0,0,0,5,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
244,Pathe Ciss,SEN,MF,139,128,92,0,0,0,0,0,8,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
244,Aubrey Modiba,RSA,DF,139,115,83,8,50,1,9,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
247,Xaver Schlager,AUT,MF,138,130,94,1,0,1,1,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
248,Aaron Wan Bissaka,COD,DF,137,109,80,7,29,2,5,60,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
249,Ricardo Ade,HAI,DF,136,121,89,0,0,0,5,40,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
249,Mohamed Salah,EGY,FW,136,112,82,16,19,4,9,44,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
249,Sebastian Berhalter,USA,MF,136,114,84,9,78,1,10,80,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
249,Manuel Ugarte,URU,MF,136,118,87,0,0,0,4,50,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
253,Julian Quinones,MEX,FW,135,111,82,4,50,5,7,100,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
254,Guillermo Varela,URU,DF,134,119,89,10,30,1,8,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
255,Alisson,BRA,GK,132,107,81,0,0,1,3,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
255,Stefan Posch,AUT,DF,132,98,74,2,0,0,11,36,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
257,Nathaniel Brown,GER,DF,131,115,88,19,32,2,6,67,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
257,Felix Nmecha,GER,MF,131,120,92,2,0,5,4,75,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
257,Lamine Camara,SEN,MF,131,117,89,8,50,2,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
257,Kaishu Sano,JPN,MF,131,124,95,1,100,2,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
