rank,player,team,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,source_url,retrieved_date
129,Amir Murillo,PAN,DF,0,1,5,0,4,1,0,0.37,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Lucas Paqueta,BRA,MF,1,1,5,0,2,3,1,0.24,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Carlos Harvey,PAN,DF,0,0,5,0,4,1,2,0.29,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Denis Zakaria,SUI,MF,0,2,5,0,5,0,1,0.61,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Aymeric Laporte,ESP,DF,1,2,5,0,3,2,3,0.36,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Mikel Merino,ESP,MF,0,3,5,40,5,0,1,1.57,1.27x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Jordan Bos,AUS,DF,0,2,5,0,3,2,0,0.42,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Ismail Yuksek,TUR,MF,0,0,5,0,3,2,1,0.32,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Chris Wood,NZL,FW,2,2,5,0,3,2,2,0.47,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Ladislav Krejci,CZE,DF,0,1,5,20,5,0,5,0.54,1.85x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Pedri,ESP,MF,0,2,5,0,1,4,0,0.47,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Connor Metcalfe,AUS,MF,0,2,5,20,1,4,0,0.11,9.21x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Marc Cucurella,ESP,DF,2,3,5,0,3,2,1,0.35,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Mehdi Taremi,IRN,FW,0,2,5,0,4,1,1,1.34,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Jamiro Monteiro,CPV,MF,0,1,5,0,2,3,0,0.19,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Keito Nakamura,JPN,MF,1,2,5,20,2,3,0,0.17,5.98x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Fiston Mayele,COD,FW,0,1,5,20,4,1,1,0.72,1.39x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Arthur Theate,BEL,DF,0,1,5,0,3,2,2,0.25,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Joshua Kimmich,GER,DF,2,1,5,0,1,4,0,0.15,0x,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Eberechi Eze,ENG,MF,1,0,5,0,2,3,0,0.28,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Hans Vanaken,BEL,MF,2,1,5,20,4,1,0,0.64,1.56x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Denzel Dumfries,NED,DF,2,2,5,0,4,1,2,0.44,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Mateo Kovacic,CRO,MF,1,4,5,0,1,4,0,0.46,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Marcel Sabitzer,AUT,MF,0,2,5,20,1,4,0,0.46,2.19x,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Ryan Gravenberch,NED,MF,2,0,5,0,2,3,0,0.25,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Brandon Mechele,BEL,DF,0,1,5,0,5,0,4,0.39,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Alexander Sorloth,NOR,FW,0,1,5,0,5,0,1,0.6,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Tijjani Reijnders,NED,MF,1,2,4,0,3,1,0,0.48,0x,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Igor Matanovic,CRO,FW,0,2,4,0,3,1,2,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Oscar Bobb,NOR,MF,0,3,4,0,4,0,0,0.62,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Aleksandar Pavlovic,GER,MF,0,1,4,0,1,3,0,0.37,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Brian Brobbey,NED,FW,0,3,4,75,4,0,0,1.4,2.14x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Alexis Saelemaekers,BEL,MF,0,1,4,25,3,1,0,0.14,7.01x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Mario Pasalic,CRO,MF,0,1,4,0,1,3,1,0.36,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Rafael Leao,POR,FW,1,1,4,25,3,1,0,0.33,3.07x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Donyell Malen,NED,FW,0,2,4,0,2,2,1,0.22,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Dayot Upamecano,FRA,DF,1,2,4,0,3,1,2,0.54,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Vitinha,POR,MF,0,0,4,0,0,4,0,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Agustin Canobbio,URU,MF,0,1,4,25,4,0,1,0.75,1.33x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Casemiro,BRA,MF,0,2,4,25,2,2,2,0.66,1.51x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Jesus Gallardo,MEX,DF,0,0,4,0,2,2,0,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Alex Freeman,USA,DF,1,1,4,25,4,0,3,0.78,1.28x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Maxi Araujo,URU,MF,1,3,4,50,3,1,2,1.09,1.83x,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Leandro Paredes,ARG,MF,0,1,4,0,0,4,0,0.07,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Juan Quintero,COL,MF,1,0,4,0,0,4,0,0.13,0x,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Miguel Almiron,PAR,MF,0,0,4,0,1,3,0,0.11,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Nicolas De La Cruz,URU,MF,0,2,4,0,1,3,0,0.11,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Lisandro Martinez,ARG,DF,1,2,4,25,2,2,0,0.2,5.09x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Pedro Vite,ECU,MF,1,1,4,0,1,3,0,0.23,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Christian Pulisic,USA,FW,1,2,4,0,2,2,0,0.42,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Mauricio,PAR,MF,0,3,4,25,2,2,0,0.32,3.12x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Rodrigo Bentancur,URU,MF,0,0,4,0,3,1,3,0.32,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Moises Caicedo,ECU,MF,0,1,4,0,1,3,1,0.19,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Kerim Alajbegovic,BIH,FW,0,1,4,25,1,3,0,0.14,7.25x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Tahith Chong,CUW,MF,0,2,4,0,2,2,0,0.2,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ermin Mahmic,BIH,MF,0,2,4,50,2,2,0,0.34,5.88x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Stephen Eustaquio,CAN,MF,0,1,4,25,0,4,0,0.1,10.34x,44,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Thalente Mbatha,RSA,MF,0,1,4,0,0,4,0,0.11,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Marawan Attia,EGY,MF,1,1,4,0,1,3,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Mbekezeli Mbokazi,RSA,DF,0,1,4,0,0,4,0,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Pape Matar Sarr,SEN,MF,0,0,4,0,0,4,0,0.23,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Teboho Mokoena,RSA,MF,0,2,4,25,1,3,0,0.84,1.19x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Oswin Appollis,RSA,FW,0,1,4,0,0,4,0,0.15,0x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Mohamed Hany,EGY,DF,1,0,4,0,0,4,0,0.09,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ibrahim Mbaye,SEN,FW,0,1,4,25,4,0,0,0.29,3.43x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ghislain Konan,CIV,DF,0,0,4,0,3,1,0,0.28,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Franck Kessie,CIV,MF,0,2,4,25,4,0,0,0.71,1.4x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ruben Providence,HAI,FW,0,1,4,0,4,0,0,0.19,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ricardo Ade,HAI,DF,0,1,4,0,2,2,2,0.17,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Evidence Makgopa,RSA,FW,0,3,4,0,4,0,2,0.42,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Yan Diomande,CIV,FW,1,0,4,0,3,1,1,0.26,0x,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ramin Rezaeian,IRN,DF,1,2,4,50,4,0,0,0.97,2.06x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Sidny Lopes Cabral,CPV,DF,0,2,4,25,0,4,0,0.11,8.93x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Oh Hyeongyu,KOR,FW,0,2,4,25,4,0,2,0.6,1.67x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ali Jasim,IRQ,FW,0,1,4,0,0,4,0,0.11,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Lee Kangin,KOR,MF,1,1,4,0,1,3,0,0.15,0x,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Saman Ghoddos,IRN,MF,0,0,4,0,2,2,0,0.16,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Diney Borges,CPV,DF,0,2,4,0,3,1,3,0.18,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Hwang Inbeom,KOR,MF,1,2,4,25,2,2,0,0.37,2.74x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Abdulelah Alamri,KSA,DF,0,2,4,25,3,1,1,0.93,1.07x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,David Doudera,CZE,DF,0,0,4,0,1,3,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Mohamed Toure,AUS,FW,0,1,4,0,4,0,1,0.26,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ben Gannon Doak,SCO,FW,0,0,4,0,2,2,0,0.14,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ivan Basic,BIH,MF,1,0,4,0,0,4,0,0.15,0x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Nico Williams,ESP,FW,1,2,4,0,2,2,1,0.56,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Can Uzun,TUR,FW,0,1,4,0,3,1,0,0.39,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Eldor Shomurodov,UZB,FW,0,2,4,25,4,0,0,0.17,5.79x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Sarpreet Singh,NZL,MF,0,2,4,0,2,2,0,0.22,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Lawrence Shankland,SCO,FW,0,0,4,0,4,0,2,0.35,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Pau Cubarsi,ESP,DF,0,2,4,0,1,3,1,0.3,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Cristian Volpato,AUS,FW,0,1,4,0,2,2,0,0.28,0x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Ermedin Demirovic,BIH,FW,0,4,4,0,1,3,0,0.08,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Callum Mccowatt,NZL,MF,0,3,4,0,3,1,1,0.21,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Marko Stamenic,NZL,MF,0,0,3,0,1,2,0,0.09,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Denis Visinsky,CZE,FW,0,0,3,0,2,1,0,0.26,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Esmir Bajraktarevic,BIH,FW,0,2,3,0,1,2,0,0.11,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Lukas Cerv,CZE,MF,0,2,3,0,1,2,0,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Orkun Kokcu,TUR,MF,1,0,3,0,2,1,0,0.56,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Abbosbek Fayzullaev,UZB,MF,0,2,3,33,2,1,1,1,1x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Nico Elvedi,SUI,DF,0,0,3,0,3,0,2,0.3,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Gustaf Lagerbielke,SWE,DF,0,1,3,0,3,0,3,0.13,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Mert Muldur,TUR,DF,0,0,3,0,3,0,3,0.22,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Kerem Akturkoglu,TUR,FW,0,1,3,0,2,1,0,0.59,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Adam Hlozek,CZE,FW,0,1,3,0,2,1,0,0.31,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Mattias Svanberg,SWE,MF,0,2,3,33,2,1,0,0.23,4.26x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Ajdin Hrustic,AUS,FW,0,0,3,0,2,1,0,0.11,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Anthony Elanga,SWE,FW,0,3,3,67,2,1,0,0.53,3.77x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Edin Dzeko,BIH,FW,0,0,3,0,3,0,0,0.2,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Abdulkerim Bardakci,TUR,DF,0,0,3,0,1,2,0,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Alessandro Circati,AUS,DF,0,0,3,0,2,1,2,0.13,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Jackson Irvine,AUS,MF,0,1,3,0,3,0,1,0.21,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Amar Memic,BIH,MF,0,1,3,0,2,1,0,0.19,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Jovo Lukic,BIH,FW,0,2,3,33,3,0,3,0.46,2.18x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Martin Baturina,CRO,MF,0,1,3,33,0,3,0,0.1,10.18x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Stefan Posch,AUT,DF,0,0,3,0,3,0,1,0.4,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Sasa Kalajdzic,AUT,FW,0,1,3,33,2,1,2,0.39,2.58x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Nikola Vlasic,CRO,MF,0,1,3,33,2,1,1,0.2,5.07x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Joao Cancelo,POR,DF,1,0,3,0,1,2,0,0.06,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Ante Budimir,CRO,FW,0,1,3,33,3,0,1,0.46,2.18x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Timothy Castagne,BEL,DF,1,1,3,0,2,1,1,0.14,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Andreas Schjelderup,NOR,MF,3,2,3,33,3,0,0,0.2,5.12x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Morgan Rogers,ENG,MF,1,1,3,0,1,2,0,0.13,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Marco Pasalic,CRO,FW,0,2,3,0,3,0,0,0.52,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Jean Philippe Mateta,FRA,FW,0,1,3,0,3,0,1,0.92,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Matias Fernandez Pardo,BEL,FW,0,0,3,0,2,1,0,0.25,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,John Mcginn,SCO,MF,0,1,3,33,3,0,0,0.56,1.78x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Petar Sucic,CRO,MF,1,2,3,33,1,2,0,0.14,7.07x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Nuno Mendes,POR,DF,0,1,3,33,1,2,0,0.15,6.47x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
